Cluster ID,Size,Keywords,Dominant Sign,IDS,Representative Example,Full Text
28,3,"transit, self, routines, snacking, entire",virgo (33.3%),"10581, 12321, 14061",The planetary transit today is like having a boost of positive energy where it counts most: your own...,"The planetary transit today is like having a boost of positive energy where it counts most: your own self-confidence. You can increase the effect of this month-long transit by grounding your physical self in healthy routines such as regular meals with no snacking in between, and exercise at least four times a week. You have a choice: get the most out of this transit (and your entire year is likely to benefit) or ignore it and wonder what might have been. The planetary transit today is like having a boost of positive energy where it counts most: your own self-confidence. You can increase the effect of this month-long transit by grounding your physical self in healthy routines such as regular meals with no snacking in between, and exercise at least four times a week. You have a choice: get the most out of this transit (and your entire year is likely to benefit) or ignore it and wonder what might have been. The planetary transit today is like having a boost of positive energy where it counts most: your own self-confidence. You can increase the effect of this month-long transit by grounding your physical self in healthy routines such as regular meals with no snacking in between, and exercise at least four times a week. You have a choice: get the most out of this transit (and your entire year is likely to benefit) or ignore it and wonder what might have been."
29,3,"appointments, fulfilled, threatens, hold, honor",virgo (33.3%),"10609, 15829, 17569",Your patience level could be low today. Honor your impatience with appropriate measures. Give yourse...,"Your patience level could be low today. Honor your impatience with appropriate measures. Give yourself extra time to get to your appointments, and don't set yourself up for frustrating situations. When it comes to eating, choose what you put into your body carefully. Be sure you like what you order or prepare; otherwise, you will not be relaxed and truly fulfilled by your meal. On another note - it is best to hold your tongue if a dispute threatens to arise with a lover or friend. Your patience level could be low today. Honor your impatience with appropriate measures. Give yourself extra time to get to your appointments, and don't set yourself up for frustrating situations. When it comes to eating, choose what you put into your body carefully. Be sure you like what you order or prepare; otherwise, you will not be relaxed and truly fulfilled by your meal. On another note - it is best to hold your tongue if a dispute threatens to arise with a lover or friend. Your patience level could be low today. Honor your impatience with appropriate measures. Give yourself extra time to get to your appointments, and don't set yourself up for frustrating situations. When it comes to eating, choose what you put into your body carefully. Be sure you like what you order or prepare; otherwise, you will not be relaxed and truly fulfilled by your meal. On another note - it is best to hold your tongue if a dispute threatens to arise with a lover or friend."
30,3,"knowledge, holistic, care, treatment, pharmaceutical",libra (33.3%),"12262, 14002, 15742","For every pharmaceutical treatment, there is a holistic way to take care of yourself! Pay attention ...","For every pharmaceutical treatment, there is a holistic way to take care of yourself! Pay attention to where you get your knowledge regarding wellness. Do you rely on what your parents taught you? (How is their health?) Do you believe what's written on all the packaging you buy? Do you have a friend or two who seem ""tuned in"" to holistic health care practices? Open yourself to receiving knowledge from new sources and notice the healthy difference it can make in your life. For every pharmaceutical treatment, there is a holistic way to take care of yourself! Pay attention to where you get your knowledge regarding wellness. Do you rely on what your parents taught you? (How is their health?) Do you believe what's written on all the packaging you buy? Do you have a friend or two who seem ""tuned in"" to holistic health care practices? Open yourself to receiving knowledge from new sources and notice the healthy difference it can make in your life. For every pharmaceutical treatment, there is a holistic way to take care of yourself! Pay attention to where you get your knowledge regarding wellness. Do you rely on what your parents taught you? (How is their health?) Do you believe what's written on all the packaging you buy? Do you have a friend or two who seem ""tuned in"" to holistic health care practices? Open yourself to receiving knowledge from new sources and notice the healthy difference it can make in your life."
31,3,"strength, self, people, upper, accentuate",libra (33.3%),"12411, 14151, 15891",Today there are positive aspects beginning for you - supporting you in your endeavors. This may alle...,"Today there are positive aspects beginning for you - supporting you in your endeavors. This may alleviate the haunting sense that you are ""all alone."" Many people will be brought to greater sensitivity (and necessary self-questioning) by this transit, and the result of this is that you will feel more like ""part of the gang"" around other people than you normally do. To accentuate this feeling of strength and self-confidence, you are encouraged to go to the gym, if possible, and build your upper-body strength. Today there are positive aspects beginning for you - supporting you in your endeavors. This may alleviate the haunting sense that you are ""all alone."" Many people will be brought to greater sensitivity (and necessary self-questioning) by this transit, and the result of this is that you will feel more like ""part of the gang"" around other people than you normally do. To accentuate this feeling of strength and self-confidence, you are encouraged to go to the gym, if possible, and build your upper-body strength. Today there are positive aspects beginning for you - supporting you in your endeavors. This may alleviate the haunting sense that you are ""all alone."" Many people will be brought to greater sensitivity (and necessary self-questioning) by this transit, and the result of this is that you will feel more like ""part of the gang"" around other people than you normally do. To accentuate this feeling of strength and self-confidence, you are encouraged to go to the gym, if possible, and build your upper-body strength."
32,3,"goals, refrain, intentions, inevitably, discouraging",libra (33.3%),"12439, 17659, 19399","Once you have set your own health goals, you will inevitably compare your health habits to other peo...","Once you have set your own health goals, you will inevitably compare your health habits to other people's. This is natural in the beginning and can be either encouraging or discouraging. The goal is really to focus on yourself, and refrain from comparison or judgment. Just take yourself and your goals seriously! If it helps, write down your intentions for the day and check them off at night. Reward yourself for healthy behavior - perhaps with a nice bubble bath! Once you have set your own health goals, you will inevitably compare your health habits to other people's. This is natural in the beginning and can be either encouraging or discouraging. The goal is really to focus on yourself, and refrain from comparison or judgment. Just take yourself and your goals seriously! If it helps, write down your intentions for the day and check them off at night. Reward yourself for healthy behavior - perhaps with a nice bubble bath! Once you have set your own health goals, you will inevitably compare your health habits to other people's. This is natural in the beginning and can be either encouraging or discouraging. The goal is really to focus on yourself, and refrain from comparison or judgment. Just take yourself and your goals seriously! If it helps, write down your intentions for the day and check them off at night. Reward yourself for healthy behavior - perhaps with a nice bubble bath!"
33,3,"focused, maintaining, breath, remains, pulse",scorpio (33.3%),"14092, 15832, 17572","If you followed yesterday's advice, you would perhaps feel the benefit of maintaining your personal ...","If you followed yesterday's advice, you would perhaps feel the benefit of maintaining your personal energy within yourself - not giving it out to other people or situations. Building further on this, try staying focused on your breath today. Exercise, and eat your meals slowly and deliberately so that your breath remains the priority in all that you do. The rhythm of your breathing is the guiding pulse to maintaining positive energy. Doing what's right for yourself is not always easy. Stay focused. If you followed yesterday's advice, you would perhaps feel the benefit of maintaining your personal energy within yourself - not giving it out to other people or situations. Building further on this, try staying focused on your breath today. Exercise, and eat your meals slowly and deliberately so that your breath remains the priority in all that you do. The rhythm of your breathing is the guiding pulse to maintaining positive energy. Doing what's right for yourself is not always easy. Stay focused. If you followed yesterday's advice, you would perhaps feel the benefit of maintaining your personal energy within yourself - not giving it out to other people or situations. Building further on this, try staying focused on your breath today. Exercise, and eat your meals slowly and deliberately so that your breath remains the priority in all that you do. The rhythm of your breathing is the guiding pulse to maintaining positive energy. Doing what's right for yourself is not always easy. Stay focused."
34,3,"relates, positioning, fast, expanding, condition",scorpio (33.3%),"14241, 15981, 17721","With today's planetary positioning, there is potential for expanding your world in innovative and cr...","With today's planetary positioning, there is potential for expanding your world in innovative and creative ways. The celestial energy relates to the body today. Can you see how your body might benefit from this atmosphere? A light fast, perhaps, or a new approach to food altogether could come out of this transit. Look at your physical condition and focus your intention on what you would like to change most radically. Then go for it! With today's planetary positioning, there is potential for expanding your world in innovative and creative ways. The celestial energy relates to the body today. Can you see how your body might benefit from this atmosphere? A light fast, perhaps, or a new approach to food altogether could come out of this transit. Look at your physical condition and focus your intention on what you would like to change most radically. Then go for it! With today's planetary positioning, there is potential for expanding your world in innovative and creative ways. The celestial energy relates to the body today. Can you see how your body might benefit from this atmosphere? A light fast, perhaps, or a new approach to food altogether could come out of this transit. Look at your physical condition and focus your intention on what you would like to change most radically. Then go for it!"
35,3,"issue, routine, nature, spontaneity, extended",scorpio (33.3%),"14269, 19489, 21229",Part of your nature is to see both sides of an issue. Another part of your nature is to be blind to ...,"Part of your nature is to see both sides of an issue. Another part of your nature is to be blind to the issue altogether because you have over-extended yourself. In other words, the real issue can sometimes get lost in the many perspectives you are able to see. This is why routine is so vital to your sign - routine in the most basic sense. Try to strengthen your routine by exercising every day and planning your meals ahead of time. Spontaneity should fall within structure. Part of your nature is to see both sides of an issue. Another part of your nature is to be blind to the issue altogether because you have over-extended yourself. In other words, the real issue can sometimes get lost in the many perspectives you are able to see. This is why routine is so vital to your sign - routine in the most basic sense. Try to strengthen your routine by exercising every day and planning your meals ahead of time. Spontaneity should fall within structure. Part of your nature is to see both sides of an issue. Another part of your nature is to be blind to the issue altogether because you have over-extended yourself. In other words, the real issue can sometimes get lost in the many perspectives you are able to see. This is why routine is so vital to your sign - routine in the most basic sense. Try to strengthen your routine by exercising every day and planning your meals ahead of time. Spontaneity should fall within structure."
36,3,"aromatherapy, tansy, ancient, attitudes, materials",sagittarius (33.3%),"15922, 17662, 19402","There is a skip in your step today! You have felt the struggle of the last few days, and it is a rel...","There is a skip in your step today! You have felt the struggle of the last few days, and it is a relief to relax and reflect on what you learned. You have brought the life of the body into focus, and you may want to open up to something new as a complement. Aromatherapy is an ancient and subtle practice. Many alternative markets carry aromatherapy materials. The essences of nasturtium, iris, and tansy can help you break through fixed attitudes and behavior patterns. There is a skip in your step today! You have felt the struggle of the last few days, and it is a relief to relax and reflect on what you learned. You have brought the life of the body into focus, and you may want to open up to something new as a complement. Aromatherapy is an ancient and subtle practice. Many alternative markets carry aromatherapy materials. The essences of nasturtium, iris, and tansy can help you break through fixed attitudes and behavior patterns. There is a skip in your step today! You have felt the struggle of the last few days, and it is a relief to relax and reflect on what you learned. You have brought the life of the body into focus, and you may want to open up to something new as a complement. Aromatherapy is an ancient and subtle practice. Many alternative markets carry aromatherapy materials. The essences of nasturtium, iris, and tansy can help you break through fixed attitudes and behavior patterns."
37,3,"formidable, significant, quiet, abilities, introspection",sagittarius (33.3%),"16071, 17811, 19551",Today's aspect brings you to a place of quiet introspection that might lead to significant changes. ...,"Today's aspect brings you to a place of quiet introspection that might lead to significant changes. Notice what you are thinking about beneath the surface - give yourself some extra personal time during the day if it is hard for you to concentrate. Going to a yoga class, if possible, or on a run will give you some time to focus on what's important. Consider your abilities to change what you aren't happy with in your life - they are formidable! Today's aspect brings you to a place of quiet introspection that might lead to significant changes. Notice what you are thinking about beneath the surface - give yourself some extra personal time during the day if it is hard for you to concentrate. Going to a yoga class, if possible, or on a run will give you some time to focus on what's important. Consider your abilities to change what you aren't happy with in your life - they are formidable! Today's aspect brings you to a place of quiet introspection that might lead to significant changes. Notice what you are thinking about beneath the surface - give yourself some extra personal time during the day if it is hard for you to concentrate. Going to a yoga class, if possible, or on a run will give you some time to focus on what's important. Consider your abilities to change what you aren't happy with in your life - they are formidable!"
38,3,"practice, health, religious, relieves, plague",capricorn (33.3%),"17752, 19492, 21232",Regularity in practice is the answer to almost all of your health concerns. You will benefit tremend...,"Regularity in practice is the answer to almost all of your health concerns. You will benefit tremendously from a regular yoga practice, running, or gym workout. Exercise can be almost a religious practice for some, for it relieves the nervousness and anxiety that plague everyday living. Finding a reason for the health regimen you keep is a good idea. This is a good time to ask yourself, ""What is health all about for me?"" Regularity in practice is the answer to almost all of your health concerns. You will benefit tremendously from a regular yoga practice, running, or gym workout. Exercise can be almost a religious practice for some, for it relieves the nervousness and anxiety that plague everyday living. Finding a reason for the health regimen you keep is a good idea. This is a good time to ask yourself, ""What is health all about for me?"" Regularity in practice is the answer to almost all of your health concerns. You will benefit tremendously from a regular yoga practice, running, or gym workout. Exercise can be almost a religious practice for some, for it relieves the nervousness and anxiety that plague everyday living. Finding a reason for the health regimen you keep is a good idea. This is a good time to ask yourself, ""What is health all about for me?"""
39,3,"boundary, issues, open, new, mindedness",capricorn (33.3%),"17901, 19641, 21381",Be on the lookout for issues that flair up around friends and family these days. You may be open to ...,"Be on the lookout for issues that flair up around friends and family these days. You may be open to new ideas and new ways of thinking, but don't let this ""open-mindedness"" get you into trouble. The aspect of the day will typically bring up some boundary issues. You have the right to say ""no"" when a boundary is being crossed. And you are the one who sets the boundaries! Practice yoga or meditation to stay on top of your best interests. Be on the lookout for issues that flair up around friends and family these days. You may be open to new ideas and new ways of thinking, but don't let this ""open-mindedness"" get you into trouble. The aspect of the day will typically bring up some boundary issues. You have the right to say ""no"" when a boundary is being crossed. And you are the one who sets the boundaries! Practice yoga or meditation to stay on top of your best interests. Be on the lookout for issues that flair up around friends and family these days. You may be open to new ideas and new ways of thinking, but don't let this ""open-mindedness"" get you into trouble. The aspect of the day will typically bring up some boundary issues. You have the right to say ""no"" when a boundary is being crossed. And you are the one who sets the boundaries! Practice yoga or meditation to stay on top of your best interests."
40,2,"discovery, encounter, enjoy, mantra, stuck",aries (50.0%),"1104, 17844","Whenever you run into a block in your energy or encounter what appears to be an exterior obstacle, t...","Whenever you run into a block in your energy or encounter what appears to be an exterior obstacle, take ten deep breaths and repeat this mantra: ""I enjoy discovery."" When you think about it in hindsight, the blocks we encounter are often full of potential and discovery. If you can learn to enjoy these moments of being ""stuck"" for the information they can ultimately give you, you will have a precious skill that will increase your well-being a thousand-fold. Whenever you run into a block in your energy or encounter what appears to be an exterior obstacle, take ten deep breaths and repeat this mantra: ""I enjoy discovery."" When you think about it in hindsight, the blocks we encounter are often full of potential and discovery. If you can learn to enjoy these moments of being ""stuck"" for the information they can ultimately give you, you will have a precious skill that will increase your well-being a thousand-fold."
41,2,"yoga, love, riding, putting, sailing",aries (50.0%),"1114, 19594",Building the habits that foster good health is the most important thing you can focus on right now. ...,"Building the habits that foster good health is the most important thing you can focus on right now. Whatever you love to do that is good for you - biking, running, sailing, yoga, horseback riding, you name it - make it EASY to get to in your life. Learn how to support yourself by putting your energy where you stand to profit. If you love yoga, get your own yoga mat and water bottle so that you are fully prepared whenever the mood strikes. Building the habits that foster good health is the most important thing you can focus on right now. Whatever you love to do that is good for you - biking, running, sailing, yoga, horseback riding, you name it - make it EASY to get to in your life. Learn how to support yourself by putting your energy where you stand to profit. If you love yoga, get your own yoga mat and water bottle so that you are fully prepared whenever the mood strikes."
42,2,"satisfaction, use, stellar, steady, beam",aries (50.0%),"1121, 17861","When you know what you want, you exude a striking sense of satisfaction that people notice right awa...","When you know what you want, you exude a striking sense of satisfaction that people notice right away. You ""beam"" with inner satisfaction. With the present planetary alignment, you are able to tune into your highest self-awareness and perhaps even resolve conflicts that have been worrying you for some time. Use this month's energy to increase your physical activities - plan bike rides on weekends, use your free time for fun, aerobic diversions. The combination of these stellar forces makes your mood steady and pleasant. When you know what you want, you exude a striking sense of satisfaction that people notice right away. You ""beam"" with inner satisfaction. With the present planetary alignment, you are able to tune into your highest self-awareness and perhaps even resolve conflicts that have been worrying you for some time. Use this month's energy to increase your physical activities - plan bike rides on weekends, use your free time for fun, aerobic diversions. The combination of these stellar forces makes your mood steady and pleasant."
43,2,"help, explain, prompted, provide, confide",aries (50.0%),"1141, 14010","Today's planetary aspect guides your dreams. If you have an Aquarian friend or acquaintance, it migh...","Today's planetary aspect guides your dreams. If you have an Aquarian friend or acquaintance, it might be a good idea to approach them. They will likely understand where you are coming from and provide you with some inspiration. Remember to offer what you are asking for. If you need some help with motivation, for example, explain what prompted you to confide in them; this will motivate that person to help you and you will get what you want out of the relationship. Today's astral configuration provides guidance for your dreams. It might be a good idea to approach a close friend for a little support and advice. They will likely understand where you are coming from and be able to provide you with some inspiration. Remember to offer what you are asking for. If you need some help with motivation, for example, explain what prompted you to confide in them: this will motivate that person to help you and enable you to get what you want out of the relationship."
44,2,"possible, received, outcome, compliments, watch",aries (50.0%),"1175, 17915",Watch your insecurities carefully today. You may notice a point where things could go one way or ano...,"Watch your insecurities carefully today. You may notice a point where things could go one way or another: make it your job to choose the best possible outcome and put your energies into that positive framework. So much of what we complain about was actually of our choosing in the first place. If you are feeling insecure because you have not received your fair share of compliments, don't wait until it's too late! Give your partner, boss, or friends the clearest possible messages about what you need. Watch your insecurities carefully today. You may notice a point where things could go one way or another: make it your job to choose the best possible outcome and put your energies into that positive framework. So much of what we complain about was actually of our choosing in the first place. If you are feeling insecure because you have not received your fair share of compliments, don't wait until it's too late! Give your partner, boss, or friends the clearest possible messages about what you need."
45,2,"rate, vocabulary, extravagant, sensibly, word",aries (50.0%),"1176, 17916",You'll feel your best today if you can get your heart rate up. It's a good day to focus on your exer...,"You'll feel your best today if you can get your heart rate up. It's a good day to focus on your exercise routine - especially if you haven't been doing it for a while. If exercise is not exactly a word in your working vocabulary, it's time to take a look at this. You don't have to do anything fancy - you can try easing into a good habit with a few sit-ups before bed. Eat sensibly, even if you crave extravagant foods. It's not the time for indulging. You'll feel your best today if you can get your heart rate up. It's a good day to focus on your exercise routine - especially if you haven't been doing it for a while. If exercise is not exactly a word in your working vocabulary, it's time to take a look at this. You don't have to do anything fancy - you can try easing into a good habit with a few sit-ups before bed. Eat sensibly, even if you crave extravagant foods. It's not the time for indulging."
46,2,"day, quirky, jokes, spark, restoring",aries (50.0%),"1292, 21512",You can benefit greatly from the creativity made available by the planetary energy at play. The usua...,"You can benefit greatly from the creativity made available by the planetary energy at play. The usual day-to-day routine can get a little boring, and this day brings spark and energy that go a long way toward restoring your faith in healthy practices! Be open to change while sticking to your basic principles, and you will end up with fun surprises! Look for the unusual, the funny, the quirky jokes of nature when you are outside. Additionally, today's aspect might bring you a new friend. You can benefit greatly from the creativity made available by the planetary energy at play. The usual day-to-day routine can get a little boring, and this day brings spark and energy that go a long way toward restoring your faith in healthy practices! Be open to change while sticking to your basic principles, and you will end up with fun surprises! Look for the unusual, the funny, the quirky jokes of nature when you are outside. Additionally, today's aspect might bring you a new friend."
47,2,"bad, impress, tragic, sheer, complaining",aries (50.0%),"1295, 4924","While everyone else is complaining they're having a bad day, you could be plotting your victory move...","While everyone else is complaining they're having a bad day, you could be plotting your victory move! It's a good day, for example, to impress the boss without really trying. Today you may see things turning out in your favor for no other reason than sheer luck. Be careful not to get so caught up in the momentum of events that you overlook your own basic needs. It would be tragic if you missed the boat altogether because you forgot to eat lunch and got into a bad mood! While everyone else is complaining they're having a bad day, you could be plotting your victory move! It's a good day, for example, to impress the boss without really trying. Today you may see things turning out in your favor for no other reason than sheer luck. Be careful not to get so caught up in the momentum of events that you overlook your own basic needs. It would be tragic if you missed the boat altogether because you forgot to eat lunch and got into a bad mood!"
48,2,"new, focus, want, prone, immaterial",aries (50.0%),"1347, 21567",What if the thing you wanted most were given to you - would you know what to do with it? Think about...,What if the thing you wanted most were given to you - would you know what to do with it? Think about what that would mean. What would you want? A new job? A new relationship? A new house? All these things are material and thus prone to change and disappointment. If you have your health you have something that is immaterial and thus more precious. Use the favorable aspect of the day to focus on what you really want. (Hint: focus on your health!) What if the thing you wanted most were given to you - would you know what to do with it? Think about what that would mean. What would you want? A new job? A new relationship? A new house? All these things are material and thus prone to change and disappointment. If you have your health you have something that is immaterial and thus more precious. Use the favorable aspect of the day to focus on what you really want. (Hint: focus on your health!)
49,2,"rich, feedback, handle, twin, heated",aries (50.0%),"1374, 6594","There could be some rejection from within to ""doing the right thing."" It is important to understand ...","There could be some rejection from within to ""doing the right thing."" It is important to understand this resistance and to take measures to handle it. For instance, if you feel that eating only rich foods will satisfy you today - try choosing a salad that has rich ingredients. Or, if exercise is not on your program, elect to take a short walk after a meal. As you make these small compromises, you will have given your ""evil twin"" some feedback, and a heated discussion is likely to ensue! There could be some rejection from within to ""doing the right thing."" It is important to understand this resistance and to take measures to handle it. For instance, if you feel that eating only rich foods will satisfy you today - try choosing a salad that has rich ingredients. Or, if exercise is not on your program, elect to take a short walk after a meal. As you make these small compromises, you will have given your ""evil twin"" some feedback, and a heated discussion is likely to ensue!"
50,2,"decide, diet, resource, lies, page",aries (50.0%),"1382, 3122","When you decide to make a habit of something, it's as though you've turned a page in a book. You wil...","When you decide to make a habit of something, it's as though you've turned a page in a book. You will find an excellent resource in today's energy for creating healthy practices in diet and exercise. It may not seem like much at first, but when you decide to reduce dairy in your diet and increase the amount of water you consume, you have started down the path to a much healthier immune system. Your power lies in evaluation and action. When you decide to make a habit of something, it's as though you've turned a page in a book. You will find an excellent resource in today's energy for creating healthy practices in diet and exercise. It may not seem like much at first, but when you decide to reduce dairy in your diet and increase the amount of water you consume, you have started down the path to a much healthier immune system. Your power lies in evaluation and action."
51,2,"stray, keeping, priorities, mastering, starts",aries (50.0%),"1391, 6611","Keeping yourself busy is never a problem. However, you will be more easily home in on what activitie...","Keeping yourself busy is never a problem. However, you will be more easily home in on what activities are priorities while the current transit lasts. There is an order of priority which, if you don't stray from, will build your health and self-esteem from the inside out. It all starts with what you eat, how often you exercise and how well you sleep. It's a short list, but mastering it is not easy! Keeping yourself busy is never a problem. However, you will be more easily home in on what activities are priorities while the current transit lasts. There is an order of priority which, if you don't stray from, will build your health and self-esteem from the inside out. It all starts with what you eat, how often you exercise and how well you sleep. It's a short list, but mastering it is not easy!"
52,2,"vegan, choices, foods, experience, eat",aries (50.0%),"1409, 3149",You may experience some fundamental shift today in terms of the food choices that you prefer. The pl...,"You may experience some fundamental shift today in terms of the food choices that you prefer. The planetary alignment asks us to look at our habits and examine why we do certain things. If you eat meat, for example, you might have an experience that gives you more clarity on why you do so, or whether you want to continue doing so. Or maybe you’ve been a hardcore Vegan for the last ten years and suddenly you find yourself with a craving for fish, eggs, or cheese? There could be a nutrient you are deficient in that these foods offer. You could experiment with eating them occasionally, or if you feel you need to stick to your ethical guns, find a way to supplement from Vegan sources. Try to take note of the foods you eat and how you feel physically and emotionally afterward. From there you can start to make nutritional choices based on what best serves your sense of wellbeing. You may experience some fundamental shift today in terms of the food choices that you prefer. The planetary alignment asks us to look at our habits and examine why we do certain things. If you eat meat, for example, you might have an experience that gives you more clarity on why you do so, or whether you want to continue doing so. Or maybe you’ve been a hardcore Vegan for the last ten years and suddenly you find yourself with a craving for fish, eggs, or cheese? There could be a nutrient you are deficient in that these foods offer. You could experiment with eating them occasionally, or if you feel you need to stick to your ethical guns, find a way to supplement from Vegan sources. Try to take note of the foods you eat and how you feel physically and emotionally afterward. From there you can start to make nutritional choices based on what best serves your sense of wellbeing."
53,2,"esteem, self, energy, little, elevating",aries (50.0%),"1437, 3177",You can use the elevating energy created by today's favorable aspect to increase your self-esteem. A...,"You can use the elevating energy created by today's favorable aspect to increase your self-esteem. Apply your best efforts to taking care of yourself. Mind your diet, strengthen your resolve to get a little exercise each day, and try to avoid stressful situations. With a little energy dedicated in these directions you can plan to encounter a dazzling month ahead! There is nothing more valuable to a person's self-esteem than the will to succeed and the energy to do so. You can use the elevating energy created by today's favorable aspect to increase your self-esteem. Apply your best efforts to taking care of yourself. Mind your diet, strengthen your resolve to get a little exercise each day, and try to avoid stressful situations. With a little energy dedicated in these directions you can plan to encounter a dazzling month ahead! There is nothing more valuable to a person's self-esteem than the will to succeed and the energy to do so."
54,2,"extra, best, mundane, purposes, far",aries (50.0%),"1445, 6665","Today, give yourself more than enough time to do the most mundane things. Being rushed by others is ...","Today, give yourself more than enough time to do the most mundane things. Being rushed by others is also not something you will react well to. One of the best ways to escape the expectations of others is to set your limits and stick to them like crazy. Give yourself an extra hour of exercise by trying some new form of a workout in addition to your regular routine. I do not mean that you should push yourself too far, but you have the extra energy today, and it's best that you use it for your own purposes, not someone else's. Today, give yourself more than enough time to do the most mundane things. Being rushed by others is also not something you will react well to. One of the best ways to escape the expectations of others is to set your limits and stick to them like crazy. Give yourself an extra hour of exercise by trying some new form of a workout in addition to your regular routine. I do not mean that you should push yourself too far, but you have the extra energy today, and it's best that you use it for your own purposes, not someone else's."
55,2,"pain, abdominal, women, theme, men",aries (50.0%),"1452, 3043","If you are not familiar with the herbal extract from the ""saw palmetto berry,"" it is high time you m...","If you are not familiar with the herbal extract from the ""saw palmetto berry,"" it is high time you make its acquaintance. It has been clinically proven to lessen the abdominal cramps in women and to promote prostate health in men. The theme of easing suffering holds true for other aspects of your life, too. Back pain, neck pain, headaches can all be alleviated at least in part by increasing the amount of water you drink and the occasional yoga class. These are simple but profound recommendations. If you are not familiar with the herbal extract from the ""saw palmetto berry,"" it is high time you make its acquaintance. It has been clinically proven to lessen the abdominal cramps in women and to promote prostate health in men. The theme of easing suffering holds true for other aspects of your life, too. Back pain, neck pain, headaches can all be alleviated at least in part by increasing the amount of water you drink and the occasional yoga workout. These are simple but profound recommendations."
56,2,"dairy, diet, backing, latte, convince",taurus (50.0%),"2934, 19674","When you have found something in your diet you'd like to improve on, give yourself adequate time to ...","When you have found something in your diet you'd like to improve on, give yourself adequate time to adjust mentally as well as physically. For instance, if dairy is very prevalent in your diet, don't eliminate it all together! This kind of enthusiasm is counterproductive. Try backing off of ice cream and cheese, while still relishing your morning latte. The whole self needs to be able to distinguish what is going on. Instead, gradually convince yourself of why and how you will reduce dairy in your diet. When you have found something in your diet you'd like to improve on, give yourself adequate time to adjust mentally as well as physically. For instance, if dairy is very prevalent in your diet, don't eliminate it all together! This kind of enthusiasm is counterproductive. Try backing off of ice cream and cheese, while still relishing your morning latte. The whole self needs to be able to distinguish what is going on. Instead, gradually convince yourself of why and how you will reduce dairy in your diet."
57,2,"want, automatons, striving, programmed, whipped",taurus (50.0%),"2944, 21424","When you want to veer from the healthy path at times, remember that it is how you manage these impul...","When you want to veer from the healthy path at times, remember that it is how you manage these impulses that really matters. We are not automatons programmed for ""organic"" and ""whole grain"" - we are human beings who love chocolate cake and whipped cream! A balanced lifestyle is what you are striving for. If you want to indulge, by all means revel in it - just drink a lot of water along with, OK? (And respect your craving for carrot juice when that comes along, too!) When you want to veer from the healthy path at times, remember that it is how you manage these impulses that really matters. We are not automatons programmed for ""organic"" and ""whole grain"" - we are human beings who love chocolate cake and whipped cream! A balanced lifestyle is what you are striving for. If you want to indulge, by all means revel in it - just drink a lot of water along with, OK? (And respect your craving for carrot juice when that comes along, too!)"
58,2,"help, tender, sympathy, access, muscle",taurus (50.0%),"2951, 19691","When it comes to our friends, we often most appreciate their warmth and caring, and the tender sympa...","When it comes to our friends, we often most appreciate their warmth and caring, and the tender sympathy that exudes from them when all is well. To keep access open to this part of your personal nature, it is important to regularly exercise and keep your energy unblocked. A regular yoga practice will help you tremendously. The blood circulation, muscle stretching and deep breathing combine to help you relax and center your exuberance, so that you can channel it. When it comes to our friends, we often most appreciate their warmth and caring, and the tender sympathy that exudes from them when all is well. To keep access open to this part of your personal nature, it is important to regularly exercise and keep your energy unblocked. A regular yoga practice will help you tremendously. The blood circulation, muscle stretching and deep breathing combine to help you relax and center your exuberance, so that you can channel it."
59,2,"recognition, player, uncomplaining, member, team",taurus (50.0%),"3005, 19745","This is a great day for recognition! Have you been a strong team player, a diligent worker, or an un...","This is a great day for recognition! Have you been a strong team player, a diligent worker, or an uncomplaining family member lately? Today, that recognition you've been trying to go without may float towards you, so take it in, and don't be self-effacing! In fact, you're probably not giving yourself enough credit. What is the most positive thing you could do for yourself today? If it's getting a little exercise, that would be highly recommended. This is a great day for recognition! Have you been a strong team player, a diligent worker, or an uncomplaining family member lately? Today, that recognition you've been trying to go without may float towards you, so take it in, and don't be self-effacing! In fact, you're probably not giving yourself enough credit. What is the most positive thing you could do for yourself today? If it's getting a little exercise, that would be highly recommended."
60,2,"permission, let, little, usually, imagination",taurus (50.0%),"3006, 19746",You'll feel a lot of relief in the general atmosphere today. It's a good day to give your employees ...,"You'll feel a lot of relief in the general atmosphere today. It's a good day to give your employees permission to leave early, or let your kids have extra helpings of dessert. You are usually so exacting - of others, but especially of yourself. Try to give yourself the permission to have a little bit of fun, too! It may even be a good night to get a little more acquainted with someone you love - let your imagination lead the way! You'll feel a lot of relief in the general atmosphere today. It's a good day to give your employees permission to leave early, or let your kids have extra helpings of dessert. You are usually so exacting - of others, but especially of yourself. Try to give yourself the permission to have a little bit of fun, too! It may even be a good night to get a little more acquainted with someone you love - let your imagination lead the way!"
